[2026-02-14 19:05:22,586: INFO: data_ingestion: ingestion done!]
[2026-02-14 19:09:49,352: INFO: data_validation: data validation done!]
[2026-02-14 19:09:49,352: INFO: data_validation: data validation done!]
[2026-02-14 19:09:49,352: INFO: data_validation: data validation done!]
[2026-02-14 19:09:49,352: INFO: data_validation: data validation done!]
[2026-02-14 19:09:49,353: INFO: data_validation: data validation done!]
[2026-02-14 19:09:49,353: INFO: data_validation: data validation done!]
[2026-02-14 19:09:49,353: INFO: data_validation: data validation done!]
[2026-02-14 19:09:49,353: INFO: data_validation: data validation done!]
[2026-02-14 19:09:49,353: INFO: data_validation: data validation done!]
[2026-02-14 19:09:49,353: INFO: data_validation: data validation done!]
[2026-02-14 19:09:49,354: INFO: data_validation: data validation done!]
[2026-02-14 19:09:49,354: INFO: data_validation: data validation done!]
[2026-02-14 19:09:49,354: INFO: data_validation: data validation done!]
[2026-02-14 19:09:49,354: INFO: data_validation: data validation done!]
[2026-02-14 19:09:49,354: INFO: data_validation: data validation done!]
[2026-02-14 19:16:03,441: INFO: data_validation: data validation done!]
[2026-02-14 19:16:03,442: INFO: data_validation: data validation done!]
[2026-02-14 19:16:03,442: INFO: data_validation: data validation done!]
[2026-02-14 19:16:03,446: INFO: data_validation: data validation done!]
[2026-02-14 19:16:03,450: INFO: data_validation: data validation done!]
[2026-02-14 19:16:03,454: INFO: data_validation: data validation done!]
[2026-02-14 19:16:03,460: INFO: data_validation: data validation done!]
[2026-02-14 19:16:03,464: INFO: data_validation: data validation done!]
[2026-02-14 19:16:03,464: INFO: data_validation: data validation done!]
[2026-02-14 19:16:03,464: INFO: data_validation: data validation done!]
[2026-02-14 19:16:03,465: INFO: data_validation: data validation done!]
[2026-02-14 19:16:03,465: INFO: data_validation: data validation done!]
[2026-02-14 19:16:03,465: INFO: data_validation: data validation done!]
[2026-02-14 19:16:03,466: INFO: data_validation: data validation done!]
[2026-02-14 19:16:03,466: INFO: data_validation: data validation done!]
[2026-02-14 19:16:30,318: INFO: data_validation: data validation done!]
[2026-02-14 19:16:30,318: INFO: data_validation: data validation done!]
[2026-02-14 19:16:30,319: INFO: data_validation: data validation done!]
[2026-02-14 19:16:30,319: INFO: data_validation: data validation done!]
[2026-02-14 19:16:30,319: INFO: data_validation: data validation done!]
[2026-02-14 19:16:30,319: INFO: data_validation: data validation done!]
[2026-02-14 19:16:30,320: INFO: data_validation: data validation done!]
[2026-02-14 19:16:30,320: INFO: data_validation: data validation done!]
[2026-02-14 19:16:30,320: INFO: data_validation: data validation done!]
[2026-02-14 19:16:30,320: INFO: data_validation: data validation done!]
[2026-02-14 19:16:30,320: INFO: data_validation: data validation done!]
[2026-02-14 19:16:30,321: INFO: data_validation: data validation done!]
[2026-02-14 19:16:30,321: INFO: data_validation: data validation done!]
[2026-02-14 19:16:30,321: INFO: data_validation: data validation done!]
[2026-02-14 19:16:30,321: INFO: data_validation: data validation done!]
[2026-02-14 19:16:38,501: WARNING: data_transformation: Column 'gender' not found in dataset]
[2026-02-14 19:16:39,024: INFO: data_transformation: Data transformation completed successfully]
[2026-02-14 19:18:33,734: INFO: data_transformation: Car data transformation completed successfully]
